date,city,team1,team2,toss,decision,venue,result,winner,mom,match_no
2010-03-31,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,M Vijay,143.0
2010-03-31,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Delhi Daredevils,KD Karthik,144.0
2010-04-01,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,1.0,Kolkata Knight Riders,SC Ganguly,145.0
2010-04-02,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Royal Challengers Bangalore,KP Pietersen,146.0
2010-04-03,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Brabourne Stadium,1.0,Mumbai Indians,AT Rayudu,147.0
2010-04-03,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,M Vijay,148.0
2010-04-04,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Eden Gardens,1.0,Kings XI Punjab,DPMD Jayawardene,149.0
2010-04-04,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Delhi Daredevils,PD Collingwood,150.0
2010-04-05,Nagpur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",1.0,Rajasthan Royals,SK Warne,151.0
2010-04-06,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,SK Raina,152.0
2010-04-07,Jaipur,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,1.0,Rajasthan Royals,MJ Lumb,153.0
2010-04-07,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,1.0,Kolkata Knight Riders,SC Ganguly,154.0
2010-04-08,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,1.0,Deccan Chargers,TL Suman,155.0
2010-04-09,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,KC Sangakkara,156.0
2010-04-10,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,R Vinay Kumar,157.0
2010-04-10,Nagpur,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",1.0,Deccan Chargers,RJ Harris,158.0
2010-04-11,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1.0,Mumbai Indians,SR Tendulkar,159.0
2010-04-11,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Kings XI Punjab,PP Chawla,160.0
2010-04-12,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",1.0,Deccan Chargers,Harmeet Singh,161.0
